census_year,small_area_guid,small_area_code,small_area_geogid,county_code,county_name,electoral_division_guid,electoral_division_code,electoral_division_name,local_electoral_area_code,nuts1_code,nuts1_name,nuts2_code,nuts2_name,nuts3_code,nuts3_name,urban_area_flag,urban_area_name
2022,4c07d11e-1cf6-851d-e053-ca3ca8c0ca7f,048033010,A048033010,17,CORK CITY,2ae19629-217d-13a3-e055-000000000001,048033,GLASHEEN C,CORK CITY SOUTH WEST,IE0,Ireland,IE05,Southern,IE053,South-West,1,Cork city and suburbs
2022,528b9ced-4984-4fd9-9e8b-c7ce234f62ab,167037007/03,A167037007/03,11,MEATH,2ae19629-18b3-13a3-e055-000000000001,167037,INNFIELD,TRIM,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Enfield
2022,4c07d11e-1147-851d-e053-ca3ca8c0ca7f,097080001,A097080001,07,KILKENNY,2ae19629-23d0-13a3-e055-000000000001,097080,ODAGH,CASTLECOMER,IE0,Ireland,IE05,Southern,IE052,South-East,0,
2022,4c07d11e-2993-851d-e053-ca3ca8c0ca7f,267123013,A267123013,04,FINGAL,2ae19629-1c9f-13a3-e055-000000000001,267123,SKERRIES,BALBRIGGAN,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Skerries
2022,4c07d11e-1f83-851d-e053-ca3ca8c0ca7f,087069002,A087069002,06,KILDARE,2ae19629-224e-13a3-e055-000000000001,087069,MORRISTOWNBILLER,NEWBRIDGE,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Newbridge
2022,4c07d11e-0fe0-851d-e053-ca3ca8c0ca7f,157025005,A157025005,29,MAYO,2ae19629-18d8-13a3-e055-000000000001,157025,BALLYHAUNIS,CLAREMORRIS,IE0,Ireland,IE04,Northern and Western,IE042,West,0,
2022,4c07d11e-22db-851d-e053-ca3ca8c0ca7f,047271002,A047271002,18,CORK,2ae19629-2122-13a3-e055-000000000001,047271,MONKSTOWN URBAN,CARRIGALINE,IE0,Ireland,IE05,Southern,IE053,South-West,1,Passage West-Monkstown
2022,4c07d11e-2eee-851d-e053-ca3ca8c0ca7f,128034004,A128034004,20,LIMERICK CITY,2ae19629-1800-13a3-e055-000000000001,128034,SHANNON B,LIMERICK CITY WEST,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Limerick city and suburbs
2022,4c07d11e-2c94-851d-e053-ca3ca8c0ca7f,077161003,A077161003,19,KERRY,2ae19629-221f-13a3-e055-000000000001,077161,TRALEE URBAN,TRALEE,IE0,Ireland,IE05,Southern,IE053,South-West,1,Tralee
2022,4c07d11e-055b-851d-e053-ca3ca8c0ca7f,177067001,A177067001,34,MONAGHAN,2ae19629-1ac4-13a3-e055-000000000001,177067,St. TIERNEY,BALLYBAY-CLONES,IE0,Ireland,IE04,Northern and Western,IE041,Border,0,
2022,4c07d11d-fe33-851d-e053-ca3ca8c0ca7f,077040006,A077040006,19,KERRY,2ae19629-2363-13a3-e055-000000000001,077040,CARAGH,KENMARE,IE0,Ireland,IE05,Southern,IE053,South-West,0,
2022,4c07d11e-0fec-851d-e053-ca3ca8c0ca7f,157026001,A157026001,29,MAYO,2ae19629-18d9-13a3-e055-000000000001,157026,BALLYHEAN,CASTLEBAR,IE0,Ireland,IE04,Northern and Western,IE042,West,0,
2022,4c07d11e-28b0-851d-e053-ca3ca8c0ca7f,047253005,A047253005,18,CORK,2ae19629-21c7-13a3-e055-000000000001,047253,MIDLETON RURAL,MIDLETON,IE0,Ireland,IE05,Southern,IE053,South-West,1,Midleton
2022,4c07d11e-1155-851d-e053-ca3ca8c0ca7f,107044004,A107044004,08,LAOIS,2ae19629-16d2-13a3-e055-000000000001,107044,DURROW,BORRIS-IN-OSSORY-MOUNTMELLICK,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-3a64-851d-e053-ca3ca8c0ca7f,267104010/01,A267104010/01,04,FINGAL,2ae19629-1ddf-13a3-e055-000000000001,267104,LUSK,RUSH-LUSK,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Lusk
2022,4c07d11e-04ac-851d-e053-ca3ca8c0ca7f,267130001,A267130001,04,FINGAL,2ae19629-1ca6-13a3-e055-000000000001,267130,SUTTON,HOWTH-MALAHIDE,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-393f-851d-e053-ca3ca8c0ca7f,267154006,A267154006,03,SOUTH DUBLIN,2ae19629-1cd6-13a3-e055-000000000001,267154,TEMPLEOGUE VILLAGE,RATHFARNHAM-TEMPLEOGUE,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-2bba-851d-e053-ca3ca8c0ca7f,268115004,A268115004,02,DUBLIN CITY,2ae19629-1dbb-13a3-e055-000000000001,268115,PEMBROKE WEST A,SOUTH EAST INNER CITY,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-2fe7-851d-e053-ca3ca8c0ca7f,157048019,A157048019,29,MAYO,2ae19629-1948-13a3-e055-000000000001,157048,CASTLEBAR RURAL,CASTLEBAR,IE0,Ireland,IE04,Northern and Western,IE042,West,1,Castlebar
2022,4c07d11e-33ec-851d-e053-ca3ca8c0ca7f,268114016,A268114016,02,DUBLIN CITY,2ae19629-1dba-13a3-e055-000000000001,268114,PEMBROKE EAST E,PEMBROKE,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-3af2-851d-e053-ca3ca8c0ca7f,167078021,A167078021,11,MEATH,2ae19629-1814-13a3-e055-000000000001,167078,RATOATH,RATOATH,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Ratoath
2022,4c07d11e-340b-851d-e053-ca3ca8c0ca7f,268134005,A268134005,02,DUBLIN CITY,2ae19629-1de6-13a3-e055-000000000001,268134,RATHMINES WEST C,KIMMAGE-RATHMINES,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-1acf-851d-e053-ca3ca8c0ca7f,228029002,A228029002,24,WATERFORD CITY,2ae19629-1baf-13a3-e055-000000000001,228029,NEWTOWN,WATERFORD CITY EAST,IE0,Ireland,IE05,Southern,IE052,South-East,1,Waterford city and suburbs
2022,4c07d11e-0cbd-851d-e053-ca3ca8c0ca7f,137041001,A137041001,09,LONGFORD,2ae19629-191a-13a3-e055-000000000001,137041,LEDWITHSTOWN,BALLYMAHON,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-2b93-851d-e053-ca3ca8c0ca7f,268111001,A268111001,02,DUBLIN CITY,2ae19629-1db7-13a3-e055-000000000001,268111,PEMBROKE EAST B,PEMBROKE,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-1eab-851d-e053-ca3ca8c0ca7f,077160003,A077160003,19,KERRY,2ae19629-221e-13a3-e055-000000000001,077160,TRALEE RURAL,TRALEE,IE0,Ireland,IE05,Southern,IE053,South-West,1,Tralee
2022,4c07d11e-3aff-851d-e053-ca3ca8c0ca7f,237080007,A237080007,13,WESTMEATH,2ae19629-1b43-13a3-e055-000000000001,237080,MULLINGAR SOUTH URBAN,MULLINGAR,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,1,Mullingar
2022,4c07d11e-280e-851d-e053-ca3ca8c0ca7f,228024002,A228024002,24,WATERFORD CITY,2ae19629-1baa-13a3-e055-000000000001,228024,MORRISSON'S AVENUE EAST,WATERFORD CITY SOUTH,IE0,Ireland,IE05,Southern,IE052,South-East,1,Waterford city and suburbs
2022,4c07d11e-0781-851d-e053-ca3ca8c0ca7f,127131002,A127131002,21,LIMERICK,2ae19629-17db-13a3-e055-000000000001,127131,SHANAGOLDEN,ADARE-RATHKEALE,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Shanagolden
2022,582cd485-4e95-48f6-9d0c-fa4a75ce771a,127094010/02,A127094010/02,21,LIMERICK,2ae19629-17a3-13a3-e055-000000000001,127094,KILMALLOCK,CAPPAMORE-KILMALLOCK,IE0,Ireland,IE05,Southern,IE051,Mid-West,0,
2022,4c07d11e-2c79-851d-e053-ca3ca8c0ca7f,077101024,A077101024,19,KERRY,2ae19629-2288-13a3-e055-000000000001,077101,KILLARNEY RURAL,KILLARNEY,IE0,Ireland,IE05,Southern,IE053,South-West,1,Killarney
2022,180fbe01-c186-48e6-9b1d-65b39f947246,107059001/02,A107059001/02,08,LAOIS,2ae19629-16cc-13a3-e055-000000000001,107059,KILLERMOGH,BORRIS-IN-OSSORY-MOUNTMELLICK,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,1,Ballycolla
2022,4c07d11e-2596-851d-e053-ca3ca8c0ca7f,267080027,A267080027,05,DUN LAOGHAIRE/RATHDOWN,2ae19629-1d5c-13a3-e055-000000000001,267080,DUNDRUM-SANDYFORD,GLENCULLEN-SANDYFORD,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-1d3c-851d-e053-ca3ca8c0ca7f,187013012,A187013012,12,OFFALY,2ae19629-1a40-13a3-e055-000000000001,187013,BIRR URBAN,BIRR,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,1,Birr
2022,4c07d11d-fc6f-851d-e053-ca3ca8c0ca7f,257071003,A257071003,15,WICKLOW,2ae19629-1ec4-13a3-e055-000000000001,257071,TINAHELY,BALTINGLASS,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,0,
2022,4c07d11e-315d-851d-e053-ca3ca8c0ca7f,267053029,A267053029,03,SOUTH DUBLIN,2ae19629-1d02-13a3-e055-000000000001,267053,CLONDALKIN VILLAGE,CLONDALKIN,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-33b7-851d-e053-ca3ca8c0ca7f,268111009,A268111009,02,DUBLIN CITY,2ae19629-1db7-13a3-e055-000000000001,268111,PEMBROKE EAST B,PEMBROKE,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11d-f69c-851d-e053-ca3ca8c0ca7f,247101002,A247101002,14,WEXFORD,2ae19629-1eca-13a3-e055-000000000001,247101,ROSSARD,ENNISCORTHY,IE0,Ireland,IE05,Southern,IE052,South-East,0,
2022,4c07d11e-046e-851d-e053-ca3ca8c0ca7f,157014008,A157014008,29,MAYO,2ae19629-1974-13a3-e055-000000000001,157014,BALLA,CASTLEBAR,IE0,Ireland,IE04,Northern and Western,IE042,West,1,Balla
2022,4c07d11d-f53b-851d-e053-ca3ca8c0ca7f,127009002,A127009002,21,LIMERICK,2ae19629-174e-13a3-e055-000000000001,127009,ASKEATON EAST,ADARE-RATHKEALE,IE0,Ireland,IE05,Southern,IE051,Mid-West,0,
2022,4c07d11d-f66c-851d-e053-ca3ca8c0ca7f,047213002,A047213002,18,CORK,2ae19629-21e0-13a3-e055-000000000001,047213,KILNAMANAGH,BANTRY-WEST CORK,IE0,Ireland,IE05,Southern,IE053,South-West,0,
2022,4c07d11d-f7cb-851d-e053-ca3ca8c0ca7f,187066002,A187066002,12,OFFALY,2ae19629-1af9-13a3-e055-000000000001,187066,MOUNTHEATON,BIRR,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-3590-851d-e053-ca3ca8c0ca7f,268067014,A268067014,02,DUBLIN CITY,2ae19629-1d6e-13a3-e055-000000000001,268067,FINGLAS SOUTH B,BALLYMUN-FINGLAS,IE0,Ireland,IE06,Eastern and Midland,IE061,Dublin,1,Dublin city and suburbs
2022,4c07d11e-2ecd-851d-e053-ca3ca8c0ca7f,128032003,A128032003,20,LIMERICK CITY,2ae19629-17fe-13a3-e055-000000000001,128032,RATHBANE,LIMERICK CITY EAST,IE0,Ireland,IE05,Southern,IE051,Mid-West,1,Limerick city and suburbs
2022,4c07d11e-271b-851d-e053-ca3ca8c0ca7f,167065044,A167065044,11,MEATH,2ae19629-1892-13a3-e055-000000000001,167065,NAVAN RURAL,NAVAN,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Navan
2022,4c07d11e-1fbd-851d-e053-ca3ca8c0ca7f,087069045,A087069045,06,KILDARE,2ae19629-224e-13a3-e055-000000000001,087069,MORRISTOWNBILLER,NEWBRIDGE,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Newbridge
2022,4c07d11d-f8d3-851d-e053-ca3ca8c0ca7f,187040001,A187040001,12,OFFALY,2ae19629-1a9b-13a3-e055-000000000001,187040,FERBANE,BIRR,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-0d89-851d-e053-ca3ca8c0ca7f,187070002,A187070002,12,OFFALY,2ae19629-1a44-13a3-e055-000000000001,187070,RAHAN,TULLAMORE,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,0,
2022,4c07d11e-1214-851d-e053-ca3ca8c0ca7f,227090015,A227090015,25,WATERFORD,2ae19629-1b6f-13a3-e055-000000000001,227090,TRAMORE,TRAMORE-WATERFORD CITY WEST,IE0,Ireland,IE05,Southern,IE052,South-East,0,
2022,4c07d11e-1d12-851d-e053-ca3ca8c0ca7f,107052011,A107052011,08,LAOIS,2ae19629-16da-13a3-e055-000000000001,107052,GRAIGUE RURAL,GRAIGUECULLEN-PORTARLINGTON,IE0,Ireland,IE06,Eastern and Midland,IE063,Midlands,1,Carlow
2022,9c45cd24-194e-47f5-a43c-43a6129dc0df,087047005/01,A087047005/01,06,KILDARE,2ae19629-2212-13a3-e055-000000000001,087047,KILCOCK,MAYNOOTH,IE0,Ireland,IE06,Eastern and Midland,IE062,Mid-East,1,Kilcock
2022,4c07d11e-2842-851d-e053-ca3ca8c0ca7f,068020014,A068020014,26,GALWAY CITY,2ae19629-2384-13a3-e055-000000000001,068020,St. NICHOLAS,GALWAY CITY CENTRAL,IE0,Ireland,IE04,Northern and Western,IE042,West,1,Galway city and suburbs
